Drug_ID,Drug,Y,sa-score,molecular-weight,pca_1,pca_2,pca_3,pca_4,umap_1,umap_2,tsne_1,tsne_2,RA_score
Drug 10,Nc1nc(N)nc(N)n1,0.0,2.325217,126.12300000000002,0.9432175,0.75237596,0.1596676,0.45588684,0.6694279,-0.23223096,0.7194013245114056,0.4593013010976592,0.9650965
Drug 11,Cc1ccc(N=Nc2c(O)ccc3ccccc23)c([N+](=O)[O-])c1,1.0,2.41534,307.3090000000001,0.87903506,-0.063470274,0.23262778,0.24783218,0.17497122,0.11067319,-0.0357515184963541,0.0292647713184387,0.97878265
Drug 12,CC(C)CC(=O)Nc1snc2ccccc12,0.0,2.197644,234.324,0.90638316,0.06857831,0.12908575,0.65079784,0.26631892,0.27269948,0.1595035693860532,-0.1245490335832319,0.996798
Drug 13,Cc1cccc([N+](=O)[O-])c1C,1.0,1.730676,151.165,0.86210835,0.20483297,0.058266696,0.5034418,0.44713748,-0.033937573,0.2344128645662099,0.2582352008765012,0.99143255
Drug 15,CCC[N+](=O)[O-],0.0,2.989207,89.09399999999998,0.92017967,0.2636411,-0.05406639,0.5197379,0.52946067,-0.20117688,0.5482500080984861,0.3243000390392888,0.8797952
Drug 16,O=C(O)c1cc([N+](=O)[O-])cc2cccnc12,1.0,2.072698,218.168,0.93030554,0.13785535,0.19206236,0.22764386,0.35477233,0.020347476,0.0395129280135256,0.1970595250188957,0.9942521
Drug 18,NC(=O)Nc1nc2ccccc2[nH]1,1.0,2.026447,176.179,0.92760396,0.19499597,0.16512826,0.38314822,0.2512877,-0.12335956,0.1440356543870204,0.3940966651253442,0.9946906
Drug 20,Nc1ccc2c(c1)oc1ccccc12,1.0,1.808869,183.21,0.92618656,-0.003930807,0.09591359,0.35444856,0.5330112,0.21268952,0.4636217121717716,-0.0924087995870295,0.8975192
Drug 21,Cc1ccc2ccc3ccc(C)cc3c2c1,1.0,1.579643,206.288,0.89663774,-0.040126666,0.14035867,0.42233178,0.1884296,0.16568625,-0.0362546580747851,-0.1178424962135803,0.9878237
Drug 22,Cc1cc2c(nc(N)n2C)c2ncc(-c3ccccc3)nc12,1.0,2.521565,289.34200000000004,0.91725415,-0.071956575,0.08868766,0.19068044,0.0044198036,0.51012695,-0.1448510827946792,-0.4393184461222797,0.94862634
Drug 24,NNc1nnc(NN)c2ccccc12,1.0,2.418588,190.21000000000004,0.88311005,0.1330454,0.10106771,0.15179774,0.50097597,0.067403555,0.3873099790707404,0.1658370521966339,0.9627036
Drug 25,C=CC(=O)NCNC(=O)C=C,1.0,3.004069,154.16899999999998,0.9283934,0.33407706,0.14607966,0.37444448,0.55783904,-0.3420173,0.57927865565264,0.5099452656467528,0.97276545
Drug 26,OCc1cc2c3c(cccc3c1)-c1ccccc1-2,0.0,1.92783,232.282,0.90761614,0.053437434,0.11225152,0.20042747,0.376261,0.19291258,-0.0212465731273806,-0.1576425465988014,0.9907718
Drug 28,Cc1cc(O)c2c(c1)C(=O)C13C4C(=O)C56C(=O)c7c(O)cc(C)cc7C(=O)C57C(C(=O)C16C2=O)C(C)C3C7C4C,0.0,7.708536,536.5360000000003,0.92776537,-0.22677454,0.09059051,0.04517743,-0.63354576,0.15828717,-0.875738300648661,-0.4463921500833524,0.008949366
Drug 29,Cc1nc(N)nc(N)n1,0.0,2.408282,125.13500000000002,0.94057167,0.70091736,0.12880959,0.4215966,0.6689384,-0.23132217,0.7497095663722855,0.4240511589418975,0.9557661
Drug 30,CCNc1nc(N)nc(Cl)n1,0.0,2.449416,173.60700000000003,0.9216122,0.3688413,0.1166242,0.46844226,0.6317692,-0.1895889,0.4679885360436582,0.4117860337184422,0.99399984
Drug 32,CC(=O)NC(CSC(Cl)=C(Cl)Cl)C(=O)O,1.0,3.480882,292.571,0.92693776,0.21246064,0.15700401,0.27848428,0.6631899,-0.13411081,0.2507585270624338,0.4633585301862765,0.8843513
Drug 33,CC(C)[C@@H]1CC[C@H](C)[C@@H]2CC[C@H](C)C[C@@H]12,1.0,3.788558,208.38899999999995,0.93922555,0.13658565,-0.08116819,0.36423445,0.3982737,-0.28649735,0.7482471414376376,0.1355318941657608,0.50033563
Drug 34,CCN=NNCC,1.0,4.109982,101.153,0.93670666,0.36300582,-0.016240641,0.47789738,0.5473491,-0.29734093,0.7684217846206477,0.3057930495126687,0.93865305
Drug 36,O=[N+]([O-])c1ccc2c(c1)-c1cccc3cccc-2c13,1.0,1.939349,247.253,0.8982898,-0.005412258,0.15609659,0.16740058,0.17258394,0.23104382,-0.05526900340884,-0.3326647913944126,0.9279924
Drug 38,c1ccc(-c2ccc(CC[C@H]3CO3)cc2)cc1,1.0,2.057925,224.303,0.93982327,0.074566096,-0.08681053,0.5122496,0.577647,0.30853224,0.7304089343422194,-0.2108272981346418,0.9930688
Drug 39,Oc1cc2c3ccccc3ccc2c2ccccc12,1.0,1.733961,244.293,0.9132073,-0.069858655,0.15147562,0.24559167,0.20194936,0.14433825,-0.0957407934985088,0.0189994344308659,0.9439876
Drug 40,Oc1ccc2ccccc2c1N=Nc1ccccc1,1.0,2.088271,248.285,0.9069665,0.092931,0.23843801,0.3356725,0.2631936,0.11282802,-0.0286774148749024,0.1052259570670951,0.99784994
Drug 43,CCOC(=O)C(C)Br,1.0,2.699323,181.029,0.9287343,0.2010858,-0.013016731,0.2624923,0.47217667,-0.27760512,0.4320172019362637,0.2963931231252454,0.98733044
Drug 44,COC1(OC2CCC3C4CCC5CC6SC6CC5(C)C4CCC23C)CCCC1,0.0,4.869727,404.6600000000003,0.9253414,-0.15379189,0.10161106,0.30183545,-0.70625925,0.30179465,-0.6391330724008025,-0.6014081477369468,0.11853709
Drug 46,CC(=C\C1=CCOC1=O)/C=C(C)/C=C/C=C(\C)C(=O)C12OC1C(O)(CCO)NC2=O,1.0,5.127441,415.4420000000002,0.9002922,-0.040824026,0.1647508,0.36767635,0.11258006,0.07220054,-0.1262359918298167,0.0657289840417298,0.006791807
Drug 47,CCO[P@](=S)(CC)Sc1ccccc1,0.0,3.325132,246.33700000000005,0.92978054,0.0949085,-0.0029342994,0.58608574,0.5459204,0.3208474,0.6938555563899759,-0.2421506969371706,0.9259683
Drug 48,Nc1ccc([N+](=O)[O-])c(N)c1,1.0,2.157052,153.141,0.9433019,0.304029,0.09934689,0.51214784,0.5791917,0.05829394,0.6371826980219438,0.1763208723521634,0.99436164
Drug 49,CCSCCSP(=O)(OC)OC,0.0,3.495215,230.291,0.9476941,0.16350089,0.031572692,0.5188876,0.58422637,-0.2197321,0.5427886010677436,0.3027934116496871,0.9122481
Drug 52,Brc1ccccc1,0.0,1.120533,157.01,0.9284025,0.087474,-0.09890178,0.5034565,0.6116493,0.29059768,0.7067761924125746,-0.1967524546793092,0.9909202
Drug 53,Cc1cc(N)c(S(=O)(=O)O)cc1Cl,0.0,2.199504,221.665,0.9198126,0.2720957,0.07095322,0.53873825,0.563481,0.023620129,0.4020021441399603,0.1639256924813854,0.9888494
Drug 54,Oc1ccc2cc(SSc3ccc4cc(O)ccc4c3)ccc2c1,0.0,2.321722,350.46400000000006,0.92447346,0.009703308,0.20905122,0.32982883,0.21283734,0.10255253,-0.0347360559093744,0.1037232358531666,0.9403347
Drug 55,CN(C)CCNC(=O)c1cccc2c1C(=O)c1ccccc1C2=O,1.0,2.028423,322.3640000000001,0.91192335,-0.04319939,0.09234683,0.20576687,0.25894797,0.41533697,0.0799685955283532,-0.469666098366813,0.9868047
Drug 58,Cc1cc(O)c2c(c1)C(=O)c1c(c(O)cc(O)c1-c1c(O)cc(O)c3c1C(=O)c1cc(C)cc(O)c1C3=O)C2=O,0.0,2.883875,538.4640000000003,0.92023975,-0.059910685,-0.033629775,-0.39767808,0.21049023,-0.01586622,-0.243618757956558,0.2051046255761738,0.8007571
Drug 59,COCCl,0.0,2.769077,80.51400000000001,0.95233357,0.37864023,-0.2063337,0.5595236,0.41875696,-0.5803999,0.8591044473256616,0.2218164536945318,0.9930397
Drug 60,O=NN1CCOCC1,1.0,2.879138,116.12,0.91838,0.32893568,-0.09463227,0.6541197,0.59299374,-0.22758353,0.8125813902369773,0.337900299963173,0.9666494
Drug 62,Nc1ccc(Nc2ccccc2)cc1,0.0,1.403555,184.242,0.95700604,0.2419806,0.10622403,0.46800154,0.6006079,0.13265765,0.627908063779726,0.1580534157129546,0.9854833
Drug 63,C=C(C)C(=O)OCCCCC,0.0,1.972129,156.22499999999997,0.94160473,0.27219224,-0.19532812,0.30467188,0.42807114,-0.4806319,0.938550519322898,0.1149650890043654,0.9941605
Drug 64,O=C(O)c1ccccc1,0.0,1.054917,122.12299999999996,0.977758,0.46291083,-0.049952686,0.4631128,0.67375326,0.05519533,0.6000480427134753,0.2079382780216236,0.99134105
Drug 66,c1cc2c3c(c1)ccc1cccc(c13)C2,1.0,2.076222,190.24499999999995,0.91343313,-0.0528827,0.12894689,0.32516426,0.45042062,0.21031308,-0.050786509035432,-0.1794587762434139,0.9425607
Drug 67,Fc1ccccc1-c1ccccc1,0.0,1.181824,172.202,0.9406061,0.11255477,-0.20220679,0.649142,0.6322844,0.30028844,0.7520326260849949,-0.071511947309542,0.9879752
Drug 68,Clc1ccc(-c2ccc(Cl)c(Cl)c2Cl)cc1Cl,0.0,1.931627,326.437,0.8906442,0.0876666,0.15957893,0.34898722,0.210423,0.31306708,0.013139763645424,-0.1601101287494896,0.9939394
Drug 70,CC1COCc2cc3c(cc21)C(C)(C)C(C)C3(C)C,0.0,3.88377,258.405,0.9359781,0.08693634,0.043328367,0.41139907,0.47364247,0.3068235,0.5387028055749402,-0.2475362544609833,0.11021361
Drug 71,Cc1cccc(Nc2cc(Cl)nc(SCC(=O)O)n2)c1C,0.0,2.301287,323.80500000000006,0.908349,-0.022068411,0.16979519,0.42945278,-0.065526485,0.4091308,-0.1107615957476737,-0.1345162627666453,0.99306935
Drug 72,Nc1ccc2ccccc2c1N=Nc1ccc([N+](=O)[O-])cc1,1.0,2.295594,292.298,0.9076389,0.051810138,0.102446035,0.20381525,0.1917783,0.33416665,0.0757676747260127,-0.0849000860337109,0.9775687
Drug 74,Oc1ccc(Cc2ccccc2O)cc1,0.0,1.639384,200.237,0.9597347,0.16555801,0.052234925,0.6646326,0.7066002,0.22729921,0.5266908016575149,-0.1866655948441009,0.99458486
Drug 76,CC(=O)N(O)c1ccc(Oc2ccccc2)cc1,1.0,1.925704,243.262,0.9349992,0.10927547,0.02460187,0.55141675,0.3902563,0.1821692,0.3541502964832047,-0.1044223257484734,0.97073245
Drug 77,CC(C)(c1ccc(OP(O)O)cc1)c1ccc(OP(O)O)cc1,0.0,2.854003,356.25100000000003,0.9293509,0.010382846,0.16401792,0.38240877,0.16486251,0.24293947,0.0067969196355332,0.0461032392562927,0.8898772
Drug 78,CCCCCCCC(=O)Cl,1.0,1.916357,162.66,0.9608282,0.29638034,-0.35353136,0.23958035,0.438784,-0.49277028,0.9384609416427498,0.1216736471038264,0.9947562
Drug 81,CCNC(=O)Nc1ncc([N+](=O)[O-])s1,1.0,2.452628,216.222,0.8898884,0.09426396,0.13986099,0.46824867,0.3763355,-0.09995234,0.1817982295058837,0.3034145416170473,0.9969913
Drug 82,COc1ccc(O)c2c(=O)c3c(OC)cc4c(c3oc12)[C@@H]1C=CO[C@H]1O4,1.0,3.839128,354.3140000000001,0.8895963,-0.08269283,0.18123408,0.29934803,0.18253851,0.12873602,-0.0990816889886462,0.0443962233247802,0.016087644
Drug 83,O=[N+]([O-])c1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,1.0,2.571238,332.526,0.8938945,-0.039677665,0.14307033,0.3370866,0.20343018,0.11937237,-0.0414900812245447,0.0182443849059522,0.98207504
Drug 85,O=C1C=C[C@]2(O)c3c(ccc(O)c31)-c1ccc(O)c3c1[C@H]2[C@H]1O[C@H]1C3=O,1.0,4.4327,348.3100000000001,0.92242163,-0.063346386,0.14931613,0.12296991,0.28309464,0.048639417,-0.0029514089176588,0.1530446899401415,0.024917096
Drug 86,COC(N)=O,0.0,2.100747,75.067,0.95037174,0.49349877,0.13705415,0.3140812,0.6222644,-0.36937886,0.5528856444078741,0.5124951335364603,0.9929443
Drug 90,Cc1c2ccccc2c(CBr)c2ccccc12,1.0,2.035557,285.184,0.9051096,-0.08792329,0.12168176,0.27694017,0.1989286,0.17097414,-0.0130490992829628,-0.150262948190676,0.9833023
Drug 92,C=CC(=O)OC,0.0,2.541718,86.08999999999999,0.93326753,0.22593972,0.084846966,0.32854113,0.6844797,-0.14268845,0.2484944437783164,0.4643693083415605,0.976441
Drug 94,OC1C=Cc2c(cc3ccc4cccc5ccc2c3c45)C1,1.0,3.077175,270.3310000000001,0.90516967,-0.10697226,0.18712568,0.2753722,0.17503893,0.19805372,-0.101938994295146,-0.0642487846337357,0.33285162
Drug 97,Cc1ccc(N=Nc2c(O)c(C(=O)O)cc3ccccc23)c(S(=O)(=O)O)c1,0.0,2.597673,386.38500000000016,0.8743277,0.080344565,0.22386488,0.43108276,0.2655003,0.08569169,0.0616452754991046,0.0713881976797907,0.98724884
Drug 99,CCCCN(COC(C)=O)N=O,1.0,2.964488,174.19999999999996,0.92855036,0.16611403,-0.04899493,0.25186163,0.4328066,-0.37368447,0.7864630745458983,0.1995337870932373,0.97606146
Drug 102,Nc1c(O)cc(Cc2cc(Cl)c(N)c(OS(=O)(=O)O)c2)cc1Cl,0.0,2.796942,379.221,0.91958815,0.10669029,0.1373515,0.34121448,0.40720034,-0.008669913,0.2968339831678839,0.2433726407252636,0.9735076
Drug 103,C1CSCCO1,0.0,3.098161,104.174,0.9474775,0.33834365,-0.16289017,0.6520091,0.5823896,-0.3223992,0.8138432139387217,0.3358338491153588,0.9449389
Drug 104,Cc1ccccc1N,1.0,1.426382,107.156,0.944095,0.22263983,-0.018999577,0.5057705,0.6042825,0.17532027,0.742331657338463,-0.202207651160325,0.9932389
Drug 105,O=C1c2ccccc2-c2ccccc21,0.0,1.396361,180.206,0.9089505,0.23993509,0.0726904,0.1622814,0.521515,0.16084576,0.3920888413858115,0.0243749833060968,0.94659775
Drug 108,CS(=O)(=O)Nc1ccc(Nc2c3ccc(N=[N+]=[N-])cc3nc3ccc(N=[N+]=[N-])cc23)cc1,0.0,2.978521,445.4680000000002,0.8713233,-0.018458389,0.17336035,0.080195725,-0.11277342,0.5230261,-0.2312243994538544,-0.3616995979656224,0.6632392
Drug 110,C/C=C(\Cl)C1=CC(=O)C23CC2C(C)(C)OC3(O)C1=O,1.0,5.406421,282.723,0.9139581,-0.16995364,0.14724298,0.2979535,0.2963214,-0.066063225,0.0992209221133739,0.2336219588244098,0.0040125735
Drug 113,Nc1ccccc1SCCSc1ccccc1N,1.0,2.207579,276.43,0.91003144,-0.08665371,0.12951943,0.52095354,0.08321023,0.29495716,0.317642600922388,-0.5509634490215655,0.95771617
Drug 114,O=C(NO)c1ccccc1O,1.0,1.803368,153.13699999999997,0.89189965,0.2644924,-0.023421168,0.37104538,0.57016706,0.120334506,0.5273461179602219,0.0482522631595187,0.99542
Drug 115,Nc1c(O)cccc1[N+](=O)[O-],0.0,2.249673,154.12499999999997,0.8857075,0.13671027,0.07939215,0.41387355,0.4312551,-0.042540133,0.2291141476230062,0.2585226662293227,0.9942101
Drug 116,CC(C)(C)c1ccc(/C=C/c2ccc(N)cc2)cc1,0.0,1.855436,251.373,0.92958474,0.028188188,0.17872992,0.34922606,0.21719813,0.16530049,0.0365273831574523,-0.0824751447917038,0.9937431
Drug 117,O=C(O)C[C@H](C(=O)O)[C@@H](CC(=O)O)C(=O)O,1.0,3.05232,234.16,0.97912616,0.48653555,0.24705215,0.5265544,0.9487002,-0.5331386,0.5194331187044229,0.7952546322219194,0.7282497
Drug 118,c1cc2c3c(cccc3c1)CC2,0.0,1.800692,154.21199999999993,0.9005946,0.062308118,0.03451813,0.46986404,0.574144,0.27429414,0.7132456810361743,-0.2013956368938146,0.9546525
Drug 119,CN(C)CCCNc1c2ccccc2nc2c(N(CCO)CCO)ccc([N+](=O)[O-])c12,1.0,2.779974,427.5050000000002,0.8927017,-0.029166609,0.10139215,0.1046083,0.17160213,0.60724676,-0.054891118266945,-0.6814199668376465,0.9046531
Drug 120,CCCCOc1ccc(N=O)cc1,1.0,1.965599,179.21899999999997,0.9395773,0.17431575,-0.06412646,0.42035723,0.54476035,0.1304102,0.5410236280029865,-0.0441526612141294,0.9957967
Drug 121,Cc1cc(S(=O)(=O)O)c(N)cc1Cl,1.0,2.181554,221.665,0.9174077,0.28521577,0.06397428,0.52648026,0.6025753,0.0066690445,0.3774371910307461,0.2976854181931002,0.99396694
Drug 122,COC(=O)C1=CCCN(C)C1,1.0,2.616986,155.197,0.9064361,0.17992902,0.08949149,0.30142817,0.4589945,-0.17274404,0.4409346050740852,0.3359444388500222,0.97061306
Drug 123,CNC(=O)ON,1.0,3.218712,90.082,0.9375896,0.45602944,0.13639197,0.33247125,0.57860756,-0.36327916,0.5758731558501883,0.5035211222883573,0.9875464
Drug 124,C=CC(=O)O,0.0,2.273849,72.06299999999999,0.95243186,0.3898844,0.19413126,0.42592126,0.80601573,-0.48376685,0.5324861717025252,0.6947046659424144,0.9857678
Drug 125,O=C(O)CC(=O)O,0.0,2.052091,104.061,0.98169726,0.5682822,0.2510765,0.5488558,0.9547405,-0.5351251,0.526105026873603,0.7904743948493416,0.99125975
Drug 126,CCCCC=O,0.0,2.241279,86.13399999999999,0.9695855,0.49221924,-0.3109206,0.28825322,0.454152,-0.49812847,0.929656865665318,0.1340636846007538,0.98163444
Drug 127,O=Nc1ccccc1-c1ccccc1,1.0,1.803952,183.21,0.94757545,0.23138228,-0.06803641,0.44394964,0.55689836,0.25641716,0.7461767669910786,-0.0574817159759507,0.9922996
Drug 129,CSC(C)(C)C(=O)NC(CS)C(=O)O,0.0,3.308623,237.346,0.9406282,0.21817158,0.15605548,0.33714178,0.49864078,-0.237917,0.4201065991855033,0.5784783946117111,0.98211354
Drug 130,C[n+]1ccc(-c2cc[n+](C)cc2)cc1,0.0,2.820397,186.258,0.9746826,0.4452847,-0.03194262,0.21178424,0.64159036,0.0007415414,0.6794280714984938,0.226436070174147,0.9590762
Drug 134,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)O,0.0,1.9734,217.202,0.8988899,0.23868908,0.11531218,0.44914395,0.44796932,-0.037308276,0.2388879237787719,0.2537923316961616,0.9902895
Drug 135,O=[N+]([O-])c1cccc(S(=O)(=O)O)c1,0.0,1.874389,203.175,0.90944463,0.2410237,0.08897193,0.49289432,0.43588603,-0.051153123,0.2393224815387552,0.2533103843846878,0.98598063
Drug 136,COc1ccc(O)c(C(C)(C)C)c1,0.0,1.816671,180.247,0.94818705,0.13537133,0.11000307,0.38108912,0.646281,0.24037421,0.6021022607615882,-0.180334455970414,0.9918017
Drug 137,O=C1c2ccc([N+](=O)[O-])cc2C(=O)N1CCl,1.0,2.316498,240.602,0.9174629,0.025307428,0.23141131,0.40531412,0.4048257,-0.044190884,0.1475833726543142,0.2557053556012578,0.9957203
Drug 138,CC(=O)c1cc2c(cc1C)C(C)(C)C(C)CC2(C)C,0.0,3.163041,258.4049999999999,0.9239391,0.072911374,0.065502435,0.3557048,0.43288136,-0.0018178821,0.4136886088462799,-0.2106999133352592,0.94309324
Drug 139,OCc1cc2ccc3cccc4ccc(c1)c2c34,1.0,1.993842,232.282,0.9195736,-0.078749254,0.1499097,0.2978558,0.22313976,0.16936207,-0.0966970377228708,0.0163713758008426,0.9503166
Drug 140,CCCCON(OC(C)=O)C(=O)c1ccc(-c2ccccc2)cc1,1.0,2.346279,327.38,0.91837513,-0.046272114,0.09428479,0.7390311,0.17776906,0.26369464,0.1801704443015803,-0.1568605966215204,0.9823455
Drug 141,C#C[C@]1(O)CC[C@@H]2[C@@H]3CCC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C,0.0,4.422785,298.42600000000004,0.9180861,-0.14663397,0.08576277,0.33371574,-0.78569555,0.49376,-0.4874132264787059,-0.7525151972518402,0.48042902
Drug 142,N#Cc1ccccc1C#N,0.0,2.012978,128.13399999999996,0.9180216,-0.002410598,0.07499937,0.3948809,0.6156101,-0.1077649,0.1839735336061357,-0.0500944016515279,0.9781237
Drug 143,CC(=O)Nc1cc(N=[N+]([O-])c2ccc(C)c(NC(C)=O)c2)ccc1C,0.0,2.515171,340.3830000000001,0.8970913,-0.016645439,0.11223879,0.44225168,0.1353265,0.17626166,0.0691303618466723,-0.0258606260870778,0.9190955
Drug 144,CC1=C(C(=O)OC(C)C)C(c2cccc([N+](=O)[O-])c2)C(=C(O)OC2CN(C(c3ccccc3)c3ccccc3)C2)C(N)=N1,0.0,3.54149,582.657,0.87867963,-0.08781771,0.17135125,0.31898305,-0.34858263,0.2786032,-0.5672784262596015,-0.3534768813476165,0.044388633
Drug 145,c1cc(-c2cc3ccc(C4=NCCN4)cc3[nH]2)ccc1C1=NCCN1,0.0,2.783534,329.4070000000001,0.9080167,0.050283745,0.29855046,0.29810977,-0.10727155,0.56613135,-0.1879929946763973,-0.3029470777861446,0.987703
Drug 146,CC1CC2c3cccc4[nH]cc(c34)CC2N(C)C1,1.0,3.467508,240.35,0.92459273,0.008129947,0.015297413,0.36448678,0.4177698,0.4400953,0.3725253732685312,-0.4865633351547243,0.016248854
Drug 147,C=CC(=O)OCCCCCC,0.0,1.972706,156.225,0.9449373,0.18628111,-0.2928727,0.3582974,0.42372835,-0.49398646,0.962733642900516,0.1133919375653089,0.9908087
Drug 149,ClC(Cl)(Cl)c1ccccc1,1.0,1.972951,195.47600000000003,0.91264665,0.037179776,0.033450045,0.3816644,0.5943651,-0.014046431,0.2342933255286451,-0.1445079427217721,0.97373736
Drug 150,CCCCCCCC/C=C/CCCCCCCCCCCC(=O)NCCCCCCCCCCCCCCCCCC,0.0,2.276816,590.0780000000002,0.92015827,-0.12761866,-0.31427994,0.438657,-0.7134306,-0.019236147,0.0850399215947253,-0.9692696796184176,0.9613796
Drug 152,CCC(CC)[N+](=O)[O-],0.0,3.160677,117.148,0.93176425,0.2614973,-0.14745554,0.38340968,0.46038914,-0.3926466,0.8519422272613361,0.1118520560852438,0.7368924
Drug 153,CCCC(=O)/N=c1\sn(C(=O)CCC)c2ccc([N+](=O)[O-])cc12,1.0,3.118375,335.38500000000005,0.9189666,-0.124051675,0.15192167,0.4816259,0.06296575,0.27528918,-0.0179424027914756,-0.1884584267326168,0.73224294
Drug 154,Cc1ccc(C#N)cc1,0.0,1.465589,117.151,0.9245113,0.25931102,0.06660609,0.4345757,0.6585734,-0.118011415,0.5603171816480376,0.3179004412001894,0.99149513
Drug 155,COc1nsc2cc(OCC3CO3)ccc12,1.0,2.997533,237.28,0.90411085,-0.053324282,0.13719109,0.42626855,0.22775185,0.34076762,0.1318292255382347,-0.26569913661269,0.9908221
Drug 158,CCCON=O,1.0,3.29459,89.094,0.92521304,0.41567874,-0.12765816,0.44258672,0.5151727,-0.36755764,0.7950301579903727,0.2591817847520162,0.9633105
Drug 161,O=C1OC(=O)c2c(Cl)c(Cl)c(Cl)c(Cl)c21,0.0,2.793044,285.897,0.9420774,0.14389153,0.055836447,0.18137747,0.81970286,-0.0046203136,-0.2406894005301783,0.2768721867888417,0.85588634
Drug 162,c1ccc2c(c1)ccc1ccc3c(c12)CCC3,1.0,1.907247,218.29899999999992,0.89896643,-0.04749377,0.14048623,0.39458835,0.17388499,0.14947748,-0.0995479344273114,0.0086729022057931,0.85958153
Drug 163,N#CCCN,0.0,3.166675,70.095,0.9363714,0.22341625,0.012198165,0.4888521,0.6534598,-0.15137637,0.5596984413530991,0.3313748074601427,0.9907261
Drug 164,Clc1cccc2oc3ccccc3c12,0.0,1.876127,202.64,0.9180331,0.011552244,0.076813325,0.5101061,0.5438794,0.19964337,0.2508199314418901,-0.083937289787426,0.98607475
Drug 165,C[C@@H]1C=Cc2c1ccc1c2ccc2ccccc21,1.0,2.722614,230.31,0.91047984,-0.062096342,0.14740257,0.31052825,0.17576742,0.11856055,-0.0960671270013401,0.0187356836644637,0.90707994
Drug 166,CCCCC,0.0,1.699621,72.151,0.9835706,0.3632588,-0.54489154,0.4746949,0.43590772,-0.5426059,0.9818883807044324,0.1476221634810378,0.9891055
Drug 170,[N-]=[N+]=NCCC(N)C(=O)O,1.0,3.456426,144.134,0.94295454,0.3385321,0.17342994,0.36598176,0.650378,-0.345726,0.4981219505719277,0.5330566033419311,0.96291673
Drug 170,[N-]=[N+]=NCCC(N)C(=O)O,1.0,3.456426,144.134,0.94295454,0.3385321,0.17342994,0.36598176,0.650378,-0.345726,0.4981219505719277,0.5330566033419311,0.96291673
Drug 171,COc1ccc2oc([N+](=O)[O-])cc2c1N(CCCl)CCCl,1.0,2.991473,333.17100000000005,0.9129032,-0.09906283,0.06358726,0.1362542,0.15971577,0.1469189,-0.0176704147116342,-0.1132816730959788,0.989979
Drug 172,CC(C)CCOC(=O)/C=C\c1ccccc1,0.0,1.807607,218.296,0.9295318,-0.01630719,0.0015945137,0.5888885,0.3316567,0.26371372,0.2843159401262279,-0.2591102695518073,0.99572575
